ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
71-80,w,Mischling klein,,2003,w,braun/weiss
51-60,m,Parson Jack Russell Terrier,,2008,m,weiss/rot
51-60,m,Bouvier,,2008,w,schwarz
61-70,m,Labrador Retriever,,2005,m,beige
41-50,w,Jack Russel Terrier,,2014,m,schwarz
41-50,w,Jack Russel Terrier,Mischling,2007,w,tricolor
61-70,m,Labrador Retriever,,2008,m,schwarz
41-50,m,Labrador Retriever,,2010,w,blondfarben
51-60,w,Golden Retriever,,2003,w,blondfarben
51-60,w,Mischling klein,,2014,m,braun
81-90,w,Biewer Yorkshire Terrier,,2015,m,tricolor
51-60,m,Mischling klein,,2007,w,schwarz
51-60,w,Appenzeller,,1998,m,dreifarbig
41-50,m,Beauceron Berge de Beauce,,2016,m,schwarz/braun
41-50,m,Beauceron,,2005,m,black/tan
81-90,m,Bichon Havanais,,2000,w,weiss
51-60,w,Foxterrier,,2007,w,braun/weiss
41-50,m,Dachshund,Mischling,2011,w,hellbraun
71-80,w,Labrador Retriever,,2010,m,braun
61-70,w,Yorkshire Terrier,,2006,m,braun/weiss
61-70,w,Yorkshire Terrier,Mischling,2006,w,schwarz/braun
51-60,m,Jack Russel Terrier,,2009,w,braun/weiss
51-60,m,Dackel,,2009,w,rot/schwarz
51-60,m,Weimaraner,,2016,w,grau
41-50,m,Mischling klein,,2006,m,braun
51-60,m,Terrier,Mischling,2007,m,black/tan
61-70,m,Border Terrier,,2005,m,grau/braun
81-90,w,Windspiel,,2001,w,blue
41-50,w,Dackel,Mischling,2010,w,tricolor
41-50,w,Mischling klein,,2006,m,braun/schwarz
71-80,w,Husky,,2004,w,braun/weiss
61-70,w,Irish Setter,,2008,m,braun
61-70,w,Irish Setter,,2008,m,braun
81-90,w,Bearded Collie,,2005,w,braun/weiss
51-60,m,Deutscher Schäfer,,2016,m,schwarz/braun
71-80,m,Mischling klein,,2007,w,tricolor
51-60,w,Dachshund,,2008,m,braun
81-90,w,Bichon,,1999,w,weiss
61-70,w,Appenzeller,Mischling,1998,m,tricolor
61-70,m,Deutscher Wachtel,,2015,m,braun schimmel
61-70,m,Rottweiler,,2005,w,schwarz
61-70,m,Labrador Retriever,,2008,w,schwarz
71-80,m,Labrador Retriever,,2012,w,schwarz
51-60,w,Labrador Retriever,,2012,w,schwarz
51-60,m,Labrador Retriever,,2012,m,schwarz
51-60,w,Labrador Retriever,,2008,m,schwarz
41-50,w,Labrador Retriever,,2006,m,schwarz
61-70,w,Pudel,Mischling,2006,m,schwarz
71-80,m,Deutscher Wachtel,,2006,w,rotbraun schimmel
71-80,w,Chihuahua,,2006,w,braun
81-90,w,Shih Tzu,,2006,m,weiss/schwarz
61-70,m,Malteser,,2015,m,weiss
51-60,m,Boxer,,2010,w,goldbraun
