ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
21-30,w,Cavalier King Charles Spaniel,,2010,m,braun/schwarz/weiss
51-60,w,Lagotto Romagnolo,,2012,m,bianco-aranico
81-90,m,Parson Jack Russell Terrier,,2012,m,weiss/schwarz
21-30,w,Französische Bulldogge,,2012,m,dunkel gestromt
51-60,w,Chihuahua,,2012,w,hellfarben
31-40,w,Deutscher Schäfer,,2008,w,schwarz/gelb
21-30,w,Entlebucher Sennenhund,,2010,m,tricolor
71-80,w,Zwergpudel,,2012,w,black/tan
81-90,w,Shih Tzu,,2001,w,grau/weiss
21-30,m,Mischling klein,,2002,w,weiss/braun
61-70,w,Podenco,Mischling,2008,m,braun
31-40,w,English Cocker Spaniel,,2006,m,schwarz
51-60,w,Mischling gross,,2013,w,schwarz/beige
21-30,w,Französische Bulldogge,,2012,w,braun
51-60,w,Yorkshire Terrier,,2013,w,black/tan
51-60,w,Yorkshire Terrier,,2008,m,blue/steel
41-50,w,Irish Wolfhound,,2012,w,sandfarbig
71-80,m,Scottish Terrier,,2012,m,schwarz
41-50,w,Labradoodle,,2012,w,apricot
41-50,m,Old Englische Bulldogge,,2012,w,weiss gestromt
31-40,w,Chihuahua,,2010,m,tricolor
41-50,w,Chihuahua,,2005,m,schwarz/weiss/braun
41-50,w,Border Terrier,,2012,w,red grizzle
41-50,m,Chihuahua,,2012,w,grau
21-30,m,Chihuahua,,2012,m,weiss/schwarz
21-30,m,Chihuahua,,2013,w,weiss/braun
51-60,w,Parson Russell Terrier,,2012,w,weiss/rot
51-60,m,Norfolk Terrier,,2007,m,black/tan
41-50,w,Mischling klein,,2010,m,blondfarben
31-40,w,Jack Russel Terrier,,2012,w,weiss/braun
41-50,w,Französische Bulldogge,,2015,m,blau
51-60,m,Yorkshire Terrier,,2012,w,blue/tan
41-50,w,Maremma-Abruzzenhund,,2008,m,braun/schwarz
21-30,w,Prager Rattler,,2012,m,schwarz/braun
41-50,w,Mischling gross,,2012,w,braun gestromt
51-60,w,Cocker Spaniel,,2012,m,rot
21-30,w,Chihuahua,,2012,m,braun
51-60,w,Yorkshire Terrier,,2006,w,gelb/braun
51-60,w,Jack Russel Terrier,,2002,w,schwarz/weiss/braun
51-60,w,Bolonka Zwetna,,2008,m,beige
41-50,m,Mischling klein,,2005,m,braun
31-40,w,Lhasa Apso,,2004,w,schwarz
31-40,w,Lhasa Apso,,2007,w,weiss
71-80,w,Yorkshire Terrier,,2011,m,black/tan
31-40,w,Labrador Retriever,,2011,w,braun
61-70,m,Bolonka Zwetna,,2012,m,grau/braun/schwarz
71-80,w,Mischling gross,Mischling,2012,w,tricolor
51-60,m,Chesapeake Bay Retriever,,2014,w,braun
31-40,w,Deutscher Schäfer,,2015,m,schwarz/braun
31-40,w,Mischling gross,,2011,w,hellbraun
61-70,w,Continental Bulldog,,2011,m,schwarz/weiss
41-50,w,Eurasier,,2011,m,schwarz
21-30,w,Französische Bulldogge,,2012,m,blue
21-30,w,Greyhound,,2005,m,weiss/grau
31-40,w,Englische Bulldogge,,2011,w,hellbraun/weiss
41-50,m,Cocker Spaniel,,2012,m,rot
31-40,m,Flat Coated Retriever,,2015,w,schwarz
31-40,m,Golden Retriever,,2012,w,golden
71-80,w,Pinscher,,2010,m,schwarz
51-60,m,Cocker Spaniel,,2011,w,schwarz
41-50,w,Malteser,,2012,m,weiss
41-50,w,Rhodesian Ridgeback,,2012,w,weizen
61-70,w,Französische Bulldogge,,2012,w,gestromt
61-70,w,Lakeland Terrier,,2010,w,rotbraun/weiss
41-50,m,Französische Bulldogge,,2011,m,weiss/schwarz
41-50,m,Labrador Retriever,,2007,w,braun
51-60,w,Griffon,Mischling,2009,w,weiss/beige
41-50,w,Whippet,,2012,w,weiss/braun
31-40,w,Boxer,Mischling,2012,w,gestromt
31-40,w,Boxer,Mischling,2012,w,gestromt
31-40,w,Mischling klein,,2011,w,weiss/braun
31-40,w,Yorkshire Terrier,,2011,w,schwarz/braun
31-40,m,Deutscher Boxer,,2012,m,dunkel gestromt
61-70,w,Chodsky pes,,2012,m,schwarz/braun
31-40,m,Jack Russel Terrier,,2008,m,braun/weiss
61-70,m,King Charles Spaniel,,2008,m,braun/grau
21-30,w,Malteser,,2012,m,schwarz/weiss
51-60,w,Chihuahua,,2012,m,weiss/schwarz
31-40,w,Mischling gross,,2011,m,hellbraun
41-50,w,Bolonka Zwetna,,2012,m,schwarz/weiss
41-50,w,Chihuahua,,2012,w,schwarz
21-30,m,Cocker Spaniel,,2006,m,dreifarbig
21-30,w,Französische Bulldogge,,2012,w,fauve
21-30,m,Eurasier,,2012,m,wildfarbig
31-40,w,Beagle,,2012,m,tricolor
41-50,m,Labrador Retriever,Mischling,2010,w,dunkelbraun
41-50,w,Dachshund,,2009,m,schwarz/rot
31-40,w,Border Collie,,2012,m,schwarz/braun/weiss
31-40,w,Mischling klein,,2010,m,hellbraun
41-50,w,Labrador Retriever,,2011,w,creme
51-60,w,Bichon,,2012,w,weiss
61-70,m,Portugiesischer Wasserhund,,2010,w,schwarz/braun
61-70,w,Französische Bulldogge,,2012,w,schwarz/weiss
31-40,w,Mischling klein,,2012,m,hellbraun
51-60,m,Berner Sennenhund,,2012,m,braun/schwarz/weiss
71-80,w,English Cocker Spaniel,,2011,m,schwarz
61-70,w,Mischling klein,,2010,w,schwarz
31-40,w,Zwergpudel,,2012,m,schwarz
61-70,w,Pudel,,2012,w,braun
41-50,m,Mops,,2012,w,schwarz
41-50,w,Pekingese,Mischling,2012,m,schwarz/weiss
81-90,m,Toypudel,,2012,w,schwarz
31-40,w,Zwergspitz,,2012,m,orange
51-60,w,Jack Russel Terrier,,2010,m,tricolor
51-60,m,Lhasa Apso,,2010,m,braun/weiss
31-40,w,Retriever,,2007,w,rot/weiss
51-60,w,Dackel,,2015,m,schwarz/rot
31-40,w,Berner Sennenhund,,2009,w,schwarz/braun/weiss
41-50,w,Bolonka Zwetna,,2012,w,schwarz
31-40,m,Berner Sennenhund,,2011,w,tricolor
31-40,w,Mops,,2009,w,beige
51-60,w,Zwergschnauzer,,2012,w,schwarz
31-40,w,Shiba Inu,,2008,w,rot/weiss
41-50,m,Labrador Retriever,Mischling,2014,w,grau meliert
41-50,m,Rauhaar Dackel,,2010,w,saufarben
21-30,w,Bergamasker,,2012,m,braun/weiss
21-30,w,Jack Russel Terrier,,2010,w,tricolor
51-60,w,Mops,,2012,w,brindle
31-40,m,Zwergspitz,,2011,w,braun
31-40,m,Zwergspitz,,2010,m,braun
71-80,w,Yorkshire Terrier,,2012,w,tricolor
71-80,w,Bichon frisé,,2009,w,weiss
21-30,w,Labrador Retriever,,2016,m,hellbraun
41-50,m,Labrador Retriever,Mischling,2005,m,schwarz
41-50,m,Papillon,,2008,w,tricolor
51-60,w,Mischling klein,,2014,m,schwarz
21-30,w,Malteser,,2013,m,weiss
51-60,m,Jack Russel Terrier,,2004,m,weiss/schwarz
41-50,w,Rhodesian Ridgeback,,2012,w,weizen
51-60,w,Malteser,,2012,w,weiss
21-30,w,Mops,,2012,m,beige
21-30,w,Chihuahua,,2015,m,schwarz/weiss
41-50,m,West Highland White Terrier,,2012,w,weiss
41-50,w,Labrador Retriever,,2012,m,gelb
61-70,w,Mischling klein,,2005,w,grau/schwarz
41-50,w,Labrador Retriever,,2012,m,schwarz
41-50,w,Cocker Spaniel,,2006,m,rot
41-50,m,Französische Bulldogge,,2010,m,weiss/schwarz
41-50,w,Malteser,,2012,m,weiss
21-30,w,Französische Bulldogge,,2011,m,gestromt
31-40,m,Französische Bulldogge,,2011,w,weiss/schwarz
31-40,w,Labrador Retriever,,2011,w,golden
51-60,m,Dackel,,2012,w,braun
41-50,w,Yorkshire Terrier,,2012,w,black/tan
41-50,w,Yorkshire Terrier,,2014,m,beige/grau/weiss
61-70,m,Bichon maltais,,2012,m,weiss
41-50,w,Basenji,,2010,m,brindle
31-40,w,Hovawart,,2009,w,schwarz/beige
31-40,w,Labrador Retriever,,2011,m,choco
51-60,w,Mischling gross,,2012,w,schwarz
61-70,w,Pudel,,2012,w,black/tan
41-50,w,Deutscher Schäfer,Mischling,2012,w,schwarz/gelb
31-40,m,Malteser,,2007,m,weiss
31-40,m,Französische Bulldogge,,2008,m,schwarz/braun gestromt
41-50,w,Beauceron Berge de Beauce,,2006,w,schwarz
31-40,w,Continental Bulldog,,2009,m,rot/weiss
21-30,w,Boxer,,2012,m,gestromt
31-40,m,English Cocker Spaniel,,2012,m,schwarz
31-40,w,Malteser,,2009,m,weiss
51-60,m,Malteser,,2011,w,weiss
21-30,w,Mops,,2012,m,beige
21-30,w,Yorkshire Terrier,,2012,w,blue/tan
31-40,m,Zwergschnauzer,,2012,w,pfeffer/salz
41-50,w,Chihuahua,,2012,m,braun
51-60,w,Mischling gross,,2012,m,schwarz/weiss
21-30,m,Englische Bulldogge,,2012,w,hellbraun/weiss
41-50,m,Chihuahua,,2009,m,tricolor
21-30,w,Französische Bulldogge,,2012,m,weiss/schwarz
71-80,m,Weimaraner,,2012,m,silbergrau
31-40,m,Münsterländer,,2003,m,rot/weiss
61-70,w,Mischling klein,,2012,m,weiss/schwarz
21-30,m,Französische Bulldogge,,2011,m,weiss/braun
41-50,w,Labrador Retriever,,2012,w,silber
31-40,w,Mittelpudel,,2012,m,schwarz
41-50,m,Prager Rattler,,2012,m,black/tan
41-50,m,Dobermann,,2012,w,schwarz/braun
41-50,w,Pudel,,2012,w,schwarz
31-40,m,Französische Bulldogge,,2012,m,grau/weiss
41-50,m,Border Collie,,2012,w,grau/weiss
61-70,m,Shih Tzu,,2004,m,weiss/schwarz
51-60,w,Border Collie,,2012,w,schwarz
41-50,w,Pinscher,Mischling,2012,w,blondfarben
61-70,w,Malteser,,2011,m,weiss
51-60,m,Mischling klein,,2012,w,creme
51-60,m,Entlebucher Sennenhund,,2014,w,tricolor
41-50,w,Havaneser,,2012,m,weiss
31-40,w,Malteser,,2012,w,weiss
31-40,m,Mischling gross,,2009,m,weiss
21-30,m,Mischling gross,,2012,m,tricolor
31-40,m,Chihuahua,,2012,w,braun
51-60,w,West Highland White Terrier,,2004,m,weiss
21-30,m,Französische Bulldogge,,2012,m,schwarz gestromt
31-40,w,Rauhaar Dackel,,2010,m,beige
61-70,w,Yorkshire Terrier,,2013,w,schwarz/braun
61-70,w,Yorkshire Terrier,,2012,m,weiss/beige
31-40,w,Zwergschnauzer,,2004,w,pfeffer/salz
31-40,w,Collie,Mischling,2014,m,tricolor
21-30,w,Mischling klein,,2012,w,schwarz/beige
31-40,m,Podenco Ibicenco,,2009,w,schwarz/weiss
31-40,m,Podenco Ibicenco,,2009,m,braun/weiss
71-80,w,Shih Tzu,,2010,w,braun gestromt
61-70,w,Bolonka Zwetna,,2015,w,braun/grau
41-50,w,Bolonka Zwetna,,2011,w,beige/creme
41-50,m,Mischling gross,,2011,m,blond/weiss
51-60,w,Golden Retriever,,2003,m,golden
51-60,m,Berner Sennenhund,,2008,m,tricolor
51-60,m,Parson Jack Russell Terrier,,2008,w,tricolor
41-50,m,Englische Bulldogge,,2010,w,braun/weiss
41-50,w,Deutscher Schäfer,,2012,w,schwarz/gelb
31-40,w,Rottweiler,,2012,w,schwarz/braun
41-50,m,Yorkshire Terrier,,2010,m,black/tan
21-30,w,Shih Tzu,,2012,w,schwarz/weiss
51-60,w,Neufundländer,,2012,m,braun
51-60,w,Bolonka Zwetna,,2010,w,weiss
31-40,m,Border Collie,Mischling,2010,w,schwarz/weiss
31-40,m,Beagle,,2005,w,beige/weiss
61-70,w,Harzer Fuchs,,2012,w,beige/weiss
21-30,w,Chihuahua,,2012,w,braun
41-50,w,Flat Coated Retriever,,2012,m,braun
31-40,w,Irish Terrier,,2009,m,braun
51-60,w,Chihuahua,,2005,m,weiss
51-60,w,Chihuahua,,2008,w,braun
31-40,w,Mischling gross,,2011,w,braun/grau
21-30,w,Französische Bulldogge,,2012,m,gestromt
41-50,w,Jack Russel Terrier,,2007,w,weiss/braun
31-40,m,Schäfer,,2012,w,weiss
21-30,w,Whippet,,2014,w,braun
41-50,m,Yorkshire Terrier,,2012,w,schwarz/braun
21-30,m,Französische Bulldogge,,2014,m,schwarz gestromt
31-40,w,Petit Basset Griffon,,2005,m,beige
31-40,w,Mops,,2012,m,schwarz
31-40,m,Malteser,,2010,w,schwarz
31-40,m,Jack Russel Terrier,Mischling,2009,m,schwarz/weiss/braun
51-60,w,Golden Retriever,,2012,m,creme
31-40,w,Berner Sennenhund,,2012,w,schwarz/weiss
31-40,m,Golden Retriever,,2012,m,beige
71-80,m,Eurasier,,2012,w,rot
31-40,w,Mops,,2008,m,schwarz
31-40,w,Mops,,2008,w,beige
21-30,w,Rottweiler,,2013,m,schwarz/braun
21-30,w,Mops,Mischling,2010,w,beige
41-50,m,Border Collie,Mischling,2005,m,schwarz/weiss
31-40,w,Mischling klein,,2012,m,braun/weiss/schwarz
71-80,w,Mischling gross,,2007,m,braun/schwarz
41-50,w,Jack Russel Terrier,,2012,w,creme
41-50,w,Pinscher,Mischling,2011,m,schwarz
41-50,m,Mischling klein,,2008,m,schwarz/braun/weiss
31-40,w,Dachshund,,2011,w,schwarz/rot
51-60,m,Französische Bulldogge,,2014,m,weiss/braun
51-60,m,Französische Bulldogge,,2011,m,rot/weiss
31-40,m,Labrador Retriever,,2012,m,schwarz
31-40,w,Jack Russel Terrier,,2012,w,tricolor
61-70,m,Yorkshire Terrier,,2012,m,schwarz/braun/beige
51-60,w,Cocker Spaniel,,2007,m,rot/beige
61-70,w,Zwergschnauzer,,2009,w,grau/weiss
61-70,w,Rottweiler,Mischling,2005,w,schwarz/braun
41-50,m,Labrador Retriever,,2012,m,gelb
31-40,m,Labrador Retriever,,2016,w,tricolor
41-50,w,Havaneser,,2012,m,beige
31-40,w,Parson Russell Terrier,,2012,m,tricolor
31-40,m,Chihuahua,,2012,w,beige
31-40,w,Deutscher Schäfer,Mischling,2007,m,braun/schwarz
41-50,m,Mischling klein,,2010,m,hellbraun
51-60,w,Basenji,,2013,w,rot/weiss
41-50,m,Prager Rattler,,2012,w,schwarz
21-30,w,Labrador Retriever,,2013,m,golden
21-30,w,Pudel,,2009,w,schwarz
41-50,m,Schweizer Sennenhund,,2012,w,tricolor
41-50,w,West Highland White Terrier,,2006,m,weiss
21-30,w,Griffon,,2009,w,rot/braun
21-30,w,Mischling klein,,2014,w,beige/weiss
61-70,w,Cairn Terrier,,2012,m,weizen
21-30,w,Border Collie,Mischling,2010,m,schwarz/weiss
51-60,w,Jack Russel Terrier,,2010,m,weiss/braun/schwarz
51-60,w,Zwergspitz,,2012,m,schwarz/braun
31-40,w,Zwergpinscher,,2010,m,schwarz/braun
31-40,m,Mops,,2012,w,beige
41-50,m,Chihuahua,,2012,m,rot/braun
61-70,w,Biewer Yorkshire Terrier,,2007,m,tricolor
31-40,w,Golden Retriever,,2002,w,golden
21-30,w,Rottweiler,,2012,m,schwarz/braun
41-50,w,Golden Retriever,,2006,m,blondfarben
41-50,w,Mittelschnauzer,,2013,w,schwarz
41-50,w,Chihuahua,,2009,w,weiss/beige
41-50,w,Chihuahua,,2012,w,beige
31-40,w,Chihuahua,Mischling,2008,w,beige
31-40,w,Dachshund,,2012,m,black/tan
31-40,w,Dachshund,,2012,w,black/tan
51-60,w,Jack Russel Terrier,,2012,w,weiss/braun
51-60,w,Galgo Español,,2010,w,schwarz
51-60,w,Deutscher Schäfer,,2009,m,schwarz/braun
31-40,m,Biewer Yorkshire Terrier,,2013,w,weiss/schwarz/braun
31-40,m,Rottweiler,,2012,m,black/tan
41-50,w,Chihuahua,,2011,w,weiss/beige
21-30,w,Mops,,2011,w,beige
51-60,m,Tibet Terrier,,2003,m,grau/schwarz
51-60,w,Chihuahua,,2012,w,weiss
41-50,w,Chihuahua,,2012,m,braun
61-70,m,Pekingese,,2008,m,braun
61-70,m,Labrador Retriever,,2013,w,braun
61-70,m,Pekingese,,2009,w,braun
61-70,w,Französische Bulldogge,,2012,w,weiss/blau
41-50,w,Lagotto Romagnolo,,2013,m,braun
21-30,w,Beagle,,2012,m,tricolor
51-60,w,Bichon Havanais,,2012,m,braun/schwarz
51-60,w,Yorkshire Terrier,,2010,w,hellbraun/weiss
61-70,m,Chihuahua,,2012,w,beige
61-70,m,Chihuahua,,2012,m,schwarz/braun
71-80,m,Mischling klein,,2012,m,schwarz/beige
71-80,w,Chihuahua,,2012,m,hellbraun
51-60,m,Mischling klein,,2009,m,schwarz
61-70,m,Boxer,,2013,w,dunkel gestromt
81-90,m,Yorkshire Terrier,,2012,w,blue/tan
51-60,w,Miniature Bull Terrier,,2012,w,weiss
41-50,m,Pinscher,Mischling,2012,w,braun/schwarz
41-50,w,Jack Russel Terrier,Mischling,2001,w,schwarz/weiss
41-50,m,Jack Russel Terrier,,2010,w,weiss/orange
21-30,w,Französische Bulldogge,,2012,m,dunkel gestromt
21-30,w,Cocker Spaniel,,2009,w,hellbraun
41-50,w,Mischling klein,,2012,w,grau/weiss
41-50,w,Labrador Retriever,,2013,w,schwarz
31-40,w,Mischling klein,,2012,m,tricolor
51-60,m,Havaneser,,2013,w,schwarz
61-70,w,Pekingese,,2011,w,beige
51-60,w,Pekingese,Mischling,2013,w,braun/weiss
51-60,w,Kleinspitz,,2013,m,weiss
61-70,w,Malteser,,2008,w,weiss
21-30,m,Malteser,,2012,m,weiss
31-40,m,Zwergspitz,,2013,m,weiss
71-80,w,Cavalier King Charles Spaniel,,2013,w,weiss/braun
21-30,m,Pinscher,,2004,w,schwarz
51-60,m,Yorkshire Terrier,,2007,w,blue/tan
51-60,m,Yorkshire Terrier,,2007,w,blue/tan
21-30,w,Chihuahua,,2012,m,hellbraun
41-50,w,Berner Sennenhund,,2013,w,tricolor
21-30,w,Französische Bulldogge,,2012,m,beige/braun
61-70,m,Yorkshire Terrier,,2001,m,steelblue
31-40,w,Mischling klein,,2005,m,braun
21-30,w,Mischling gross,,2012,w,braun
71-80,w,Sheltie,,2014,w,schwarz/weiss
21-30,m,Rauhaar Dackel,,2009,m,braun
21-30,m,Rauhaar Dackel,,2013,w,braun
41-50,w,Mischling gross,,2010,w,dunkel gestromt
51-60,w,Labrador Retriever,,2006,m,braun
31-40,m,Lhasa Apso,,2003,m,weiss/schwarz
31-40,w,Englische Bulldogge,,2013,m,weiss
51-60,w,Berner Sennenhund,,2013,m,tricolor
21-30,w,Chihuahua,,2010,m,rot/beige
31-40,w,Mischling gross,,2007,m,blondfarben
61-70,w,Ratero,,2011,m,schwarz/weiss
21-30,w,Parson Jack Russell Terrier,,2011,m,tricolor
51-60,w,Parson Russell Terrier,,2013,m,weiss/schwarz
41-50,w,Parson Jack Russell Terrier,,2013,m,weiss/orange
31-40,m,Chihuahua,,2013,m,schwarz/weiss
51-60,w,Golden Retriever,,2013,w,golden
51-60,w,Australian Terrier,,2013,w,schwarz/braun
21-30,m,Labrador Retriever,,2011,m,blondfarben
41-50,w,Curly Coated Retriever,,2012,w,hellbraun
31-40,m,Flat Coated Retriever,,2013,m,schwarz
41-50,w,Golden Retriever,,2013,w,beige
51-60,w,Mischling klein,,2012,m,schwarz/braun/weiss
21-30,w,Pinscher,,2016,w,schwarz/braun
21-30,w,Pinscher,,2012,m,braun
51-60,m,Französische Bulldogge,,2013,w,gestromt
41-50,m,Mops,,2010,w,beige/schwarz
21-30,m,Französische Bulldogge,,2013,w,choco
21-30,w,Mischling gross,,2011,m,braun
21-30,w,Shih Tzu,,2013,w,weiss/braun
51-60,w,Mischling klein,,2012,m,schwarz/weiss
41-50,m,King Charles Spaniel,,2011,w,schwarz/braun
51-60,w,Malteser,,2006,w,weiss
61-70,w,Terrier,,2011,w,tricolor
51-60,w,Labrador Retriever,,2013,m,schwarz
51-60,m,Mischling klein,,2007,w,tricolor
31-40,m,Shih Tzu,,2013,w,weiss/braun
51-60,w,Border Collie,,2008,w,schwarz/weiss
41-50,w,Deutsche Dogge,,2014,w,schwarz
31-40,w,Labrador Retriever,Mischling,2012,w,tricolor
51-60,m,Katalanischer Schäferhund,,2012,m,schwarz
31-40,m,Labrador Retriever,,2008,m,braun
41-50,w,Vorstehhund,,2012,m,braun
31-40,w,Pudel,,2011,m,weiss
41-50,m,Boston Terrier,,2012,m,schwarz/weiss
21-30,w,Mischling klein,,2010,w,weiss/schwarz
41-50,m,Malteser,Mischling,2004,w,weiss
31-40,m,Bergamasker,,2013,w,schwarz
31-40,m,Spinone,Mischling,2009,w,braun
31-40,w,Mischling klein,,2012,w,hellbraun
51-60,w,Berner Sennenhund,,2013,w,tricolor
41-50,w,Japan Chin,,2012,m,weiss/schwarz
51-60,w,Hovawart,,2013,w,blondfarben
41-50,w,Sheltie,Mischling,2008,w,tricolor
61-70,w,Griffon,,2011,w,black/tan
51-60,w,Chihuahua,,2010,w,beige
51-60,w,Chihuahua,,2010,w,beige
31-40,m,West Highland White Terrier,,2012,m,weiss
81-90,w,Parson Russell Terrier,,2013,w,weiss/schwarz
51-60,w,Lhasa Apso,,2013,m,zobel/weiss
41-50,w,Yorkshire Terrier,,2011,m,grau/braun
21-30,w,Pinscher,Mischling,2013,w,braun gestromt
21-30,w,Jack Russel Terrier,,2012,w,braun/weiss
21-30,w,Rehpinscher,,2007,m,schwarz/braun
31-40,w,Cairn Terrier,,2010,w,brindle
21-30,w,Parson Jack Russell Terrier,,2007,m,weiss/braun
51-60,m,Pinscher,,2013,m,schwarz
21-30,w,Magyar Viszla,,2011,w,braun
31-40,m,Mischling klein,,2012,w,schwarz
41-50,w,Labrador Retriever,,2013,w,braun
51-60,w,Malinois,Mischling,2004,m,hellbraun
51-60,w,Havaneser,,2013,m,schwarz/weiss
21-30,w,Chihuahua,,2007,m,beige/weiss
51-60,m,Zwergpudel,,2003,m,schwarz
31-40,w,Yorkshire Terrier,,2013,m,schwarz/braun
31-40,w,Yorkshire Terrier,,2012,w,schwarz/beige
31-40,w,Labrador Retriever,,2012,m,braun
41-50,w,Zwergpinscher,,2012,w,schwarz/braun
31-40,w,Französische Bulldogge,,2013,m,weiss/schwarz
21-30,m,Chihuahua,,2009,m,weiss
31-40,w,Labrador Retriever,,2007,m,braun
51-60,m,Pekingese,,2012,w,braun/schwarz
31-40,w,Chihuahua,,2006,w,weiss
31-40,w,Chihuahua,,2012,m,braun
41-50,w,Malteser,,2012,m,weiss
31-40,m,Bolonka Zwetna,,2009,m,schwarz/weiss
31-40,w,Miniature Australien Shepard,,2014,m,red merle
31-40,w,Miniature Australien Shepard,,2012,w,tricolor
31-40,w,Mischling klein,,2008,m,braun
41-50,m,Border Collie,,2010,w,blue/merle
41-50,w,West Highland White Terrier,,2012,m,weiss
41-50,w,West Highland White Terrier,,2012,w,weiss
51-60,m,Grosspudel,,2002,w,weiss
51-60,m,Grosspudel,,2004,w,weiss
51-60,w,Golden Retriever,,2013,w,creme
31-40,w,Pekingese,,2012,w,schwarz/weiss
51-60,w,Mischling klein,,2016,m,hellbraun
51-60,m,Mischling gross,,2013,w,tricolor
31-40,w,Chihuahua,,2009,m,weiss/schwarz
41-50,w,Pekingese,,2011,w,schwarz/weiss
21-30,w,Labrador Retriever,,2013,w,schwarz
31-40,w,Labrador Retriever,,2013,w,schwarz
41-50,w,Chihuahua,,2013,w,braun
71-80,w,Tibet Terrier,,2003,m,dunkelbraun
41-50,w,Border Terrier,,2013,w,grizzle
31-40,m,Französische Bulldogge,,2013,w,beige
71-80,w,Mischling klein,,2011,w,tricolor
71-80,m,Flat Coated Retriever,,2013,m,schwarz
71-80,m,Kromfohrländer,,2013,m,weiss/braun
21-30,w,Cairn Terrier,,2010,m,grau
31-40,w,Englische Bulldogge,,2013,w,tricolor
41-50,w,Husky,,2016,m,beige
31-40,w,Französische Bulldogge,,2011,m,weiss/schwarz
41-50,w,Bolonka Zwetna,,2010,w,schwarz/weiss
41-50,w,Bolonka Zwetna,,2013,m,schwarz/braun/weiss
51-60,w,Foxterrier,,2009,w,weiss/schwarz/braun
31-40,w,Französische Bulldogge,,2013,m,weiss/schwarz
41-50,m,Spanischer Wasserhund,,2012,m,weiss/schwarz
21-30,w,Chihuahua,,2008,m,black/tan
31-40,w,Yorkshire Terrier,,2012,m,schwarz
61-70,w,Labrador Retriever,,2013,w,gelb
41-50,w,Berner Sennenhund,,2013,m,tricolor
21-30,m,Mischling klein,,2005,w,tricolor
Nov-20,w,Pinscher,,2013,w,schwarz/braun
31-40,w,Yorkshire Terrier,,2012,m,blue/tan
51-60,m,Labrador Retriever,,2013,w,schwarz/braun
31-40,w,Mischling gross,,2010,w,braun/schwarz
51-60,m,Spitz,,2013,w,hellbraun
51-60,m,Weimaraner,,2013,w,grau/braun
41-50,w,Mischling gross,,2013,w,tricolor
21-30,w,Spitz,,2012,w,weiss
51-60,w,Jack Russel Terrier,,2013,w,tricolor
51-60,w,Mischling gross,,2011,w,tricolor
61-70,w,Französische Bulldogge,,2012,w,weiss/gelb
21-30,w,Chihuahua,,2013,w,sandfarbig
21-30,w,Chihuahua,,2012,w,schwarz
41-50,w,Yorkshire Terrier,,2009,w,blue/tan
41-50,m,Cocker Spaniel,,2010,m,zobel beige
31-40,m,Jack Russel Terrier,,2012,m,weiss/braun
41-50,w,Bolonka Zwetna,,2013,m,goldbraun
31-40,w,Französische Bulldogge,,2012,m,schwarz/braun
31-40,m,Labrador Retriever,,2012,w,gelb
21-30,m,Chihuahua,Mischling,2013,m,beige
51-60,w,Australian Shepherd,,2011,m,schwarz
41-50,m,Havaneser,,2013,m,grau
31-40,m,Vizsla,,2012,w,gelb
31-40,m,Yorkshire Terrier,,2013,m,schwarz
31-40,w,Malteser,,2013,m,weiss
31-40,w,Weimaraner,,2015,w,grau
31-40,m,Schäfer,,2008,m,schwarz
21-30,w,Zwergpinscher,,2013,m,schwarz/braun
71-80,w,Pudel,,2013,m,schwarz/beige
31-40,m,Chihuahua,,2013,m,beige/schwarz
21-30,w,Mops,,2013,w,beige
51-60,w,Zwergpudel,,2015,m,apricot
51-60,w,Schäfer,,2013,w,braun/schwarz
41-50,w,Labradoodle,,2013,m,weiss/braun
21-30,w,Chihuahua,,2013,w,tricolor
61-70,w,English Cocker Spaniel,,2013,w,rot/weiss
51-60,m,Golden Retriever,,2009,w,golden
51-60,w,Terrier,Mischling,2011,w,tricolor
71-80,w,Havaneser,,2013,w,schwarz/weiss
21-30,w,Schäfer,Mischling,2012,w,schwarz/braun
51-60,w,Labrador Retriever,Mischling,2007,w,blondfarben
41-50,w,Parson Russell Terrier,,2013,m,tricolor
51-60,w,Yorkshire Terrier,,2008,w,blue/steel
31-40,w,English Toy Terrier,,2013,w,schwarz/loh
21-30,w,Mischling klein,Mischling,2013,m,weiss/beige
61-70,w,Königspudel,,2013,w,braun
41-50,w,Labrador Retriever,,2015,m,blondfarben
41-50,w,Flat Coated Retriever,Mischling,2013,m,schwarz
51-60,m,Italienisches Windspiel,,2006,m,blau
21-30,w,Shiba Inu,,2013,w,rot
31-40,w,Beagle,,2011,w,tricolor
41-50,w,Dachshund,,2010,m,fauve
41-50,w,English Cocker Spaniel,,2003,m,schwarz/weiss
41-50,w,Dackel,,2009,m,schwarz/braun
51-60,w,Malinois,,2007,m,fauve
51-60,w,Chihuahua,,2014,m,tricolor
51-60,w,Chihuahua,,2013,w,beige/braun
41-50,m,Zwergpinscher,,2011,m,rot
31-40,m,Jack Russel Terrier,,2012,m,tricolor
31-40,w,Chinese Foo Dog,,2013,m,beige/schwarz
51-60,w,Bolonka Zwetna,,2013,w,schwarz/weiss
31-40,w,Deutscher Pinscher,,2014,m,schwarz
61-70,w,Bearded Collie,,2010,m,blau/weiss
31-40,w,Chihuahua,,2012,m,hellbraun
