SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,WhereBittenIDDesc,ResultsIDDesc,Year,Month,Day
DOG,,MALE,BLACK-TAN,1,BODY,UNKNOWN,2010,2,18
DOG,,MALE,WHT,1,BODY,UNKNOWN,2010,2,19
CAT,,FEMALE,WHT-BLK,1,BODY,UNKNOWN,2010,2,20
DOG,,UNKNOWN,BRINDLE-WH,,BODY,UNKNOWN,2010,2,20
DOG,,UNKNOWN,RED-WHT,1,BODY,UNKNOWN,2010,2,20
CAT,,FEMALE,WHT-BLK,,HEAD,UNKNOWN,2010,2,21
DOG,,FEMALE,WHT-TAN,3,BODY,UNKNOWN,2010,2,21
DOG,,FEMALE,BLK-TAN,3,BODY,UNKNOWN,2010,2,21
CAT,,UNKNOWN,BRN-WHT,,BODY,UNKNOWN,2010,2,21
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,22
DOG,,FEMALE,BRN-WHT,3,BODY,UNKNOWN,2010,2,22
DOG,,UNKNOWN,TAN-WHT,,HEAD,UNKNOWN,2010,2,22
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,2,23
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,2,23
CAT,,MALE,LT. BR,1,BODY,UNKNOWN,2010,2,23
DOG,,FEMALE,BLK,1,BODY,UNKNOWN,2010,2,25
DOG,,FEMALE,TRI,1,BODY,UNKNOWN,2010,2,25
DOG,,MALE,BRN,,HEAD,UNKNOWN,2010,2,25
DOG,,MALE,WHT-BLK,,HEAD,UNKNOWN,2010,2,26
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,2,26
DOG,,FEMALE,BLACK,1,BODY,UNKNOWN,2010,2,26
DOG,,MALE,RED,1,BODY,UNKNOWN,2010,2,26
DOG,,MALE,BLK-BRN,,BODY,UNKNOWN,2010,2,26
DOG,,MALE,BLK-WHT,1,BODY,UNKNOWN,2010,2,27
CAT,,UNKNOWN,GRAY,,BODY,UNKNOWN,2010,2,27
DOG,,UNKNOWN,BLONDE,,BODY,UNKNOWN,2010,2,27
CAT,,FEMALE,GRAY,1,BODY,UNKNOWN,2010,2,28
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,2,28
CAT,,UNKNOWN,,,BODY,UNKNOWN,2010,2,28
BAT,,UNKNOWN,,,BODY,UNKNOWN,2010,3,1
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,3,1
DOG,,FEMALE,BLK-WHT,3,BODY,UNKNOWN,2010,3,1
